,SELL_ID,SELL_CATEGORY,ITEM_NAME,CALENDAR_DATE,PRICE,QUANTITY,YEAR,HOLIDAY,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR
177,2051,2,BURGER,1/14/14,13.27,24,2014,No Holiday,0,0,28.4,1
217,2051,2,BURGER,1/15/15,11.53,36,2015,No Holiday,0,0,32.0,1
249,2051,2,BURGER,1/16/15,11.53,32,2015,No Holiday,0,0,32.0,1
377,2051,2,BURGER,1/2/15,11.53,30,2015,No Holiday,0,0,37.4,1
609,2051,2,BURGER,1/27/12,12.73,28,2012,No Holiday,0,0,32.0,1
769,2051,2,BURGER,1/31/12,12.73,30,2012,No Holiday,0,0,32.0,1
801,2051,2,BURGER,1/4/12,12.73,26,2012,No Holiday,0,0,32.0,1
857,2051,2,BURGER,1/5/15,11.53,36,2015,No Holiday,0,0,33.8,1
889,2051,2,BURGER,1/6/15,11.53,30,2015,No Holiday,0,0,32.0,1
921,2051,2,BURGER,1/7/15,11.53,30,2015,No Holiday,0,0,32.0,1
1017,2051,2,BURGER,10/10/12,12.35,36,2012,No Holiday,0,0,62.6,1
1025,2051,2,BURGER,10/10/13,10.97,36,2013,No Holiday,0,0,59.0,1
1033,2051,2,BURGER,10/10/14,12.87,34,2014,No Holiday,0,0,60.8,1
1041,2051,2,BURGER,10/11/12,12.35,30,2012,No Holiday,0,0,62.6,1
1049,2051,2,BURGER,10/11/13,10.97,34,2013,No Holiday,0,0,60.8,1
1065,2051,2,BURGER,10/12/12,12.35,30,2012,No Holiday,0,0,62.6,1
1105,2051,2,BURGER,10/13/14,12.87,30,2014,No Holiday,0,0,59.0,1
1121,2051,2,BURGER,10/14/13,10.97,32,2013,No Holiday,0,0,55.4,1
1129,2051,2,BURGER,10/14/14,12.87,32,2014,No Holiday,0,0,48.2,1
1137,2051,2,BURGER,10/15/12,12.35,28,2012,No Holiday,0,0,59.0,1
1145,2051,2,BURGER,10/15/13,10.97,36,2013,No Holiday,0,0,55.4,1
1153,2051,2,BURGER,10/15/14,12.87,30,2014,No Holiday,0,0,48.2,1
1161,2051,2,BURGER,10/16/12,12.35,28,2012,No Holiday,0,0,57.2,1
1169,2051,2,BURGER,10/16/13,10.97,38,2013,No Holiday,0,0,51.8,1
1177,2051,2,BURGER,10/16/14,12.87,26,2014,No Holiday,0,0,53.6,1
1185,2051,2,BURGER,10/17/12,12.35,34,2012,No Holiday,0,0,57.2,1
1193,2051,2,BURGER,10/17/13,10.97,36,2013,No Holiday,0,0,51.8,1
1201,2051,2,BURGER,10/17/14,12.87,34,2014,No Holiday,0,0,55.4,1
1209,2051,2,BURGER,10/18/12,12.35,34,2012,No Holiday,0,0,59.0,1
1217,2051,2,BURGER,10/18/13,10.97,34,2013,No Holiday,0,0,55.4,1
