,SELL_ID,SELL_CATEGORY,ITEM_NAME,CALENDAR_DATE,PRICE,QUANTITY,YEAR,HOLIDAY,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR
0,1070,0,BURGER,1/1/12,15.5,46,2012,New Year,1,0,24.8,0
1,2051,2,BURGER,1/1/12,12.73,22,2012,New Year,1,0,24.8,0
2,2051,2,COKE,1/1/12,12.73,22,2012,New Year,1,0,24.8,0
3,2052,2,BURGER,1/1/12,12.75,18,2012,New Year,1,0,24.8,0
4,2052,2,LEMONADE,1/1/12,12.75,18,2012,New Year,1,0,24.8,0
5,2053,2,BURGER,1/1/12,12.6,30,2012,New Year,1,0,24.8,0
6,2053,2,COFFEE,1/1/12,12.6,30,2012,New Year,1,0,24.8,0
7,2053,2,COKE,1/1/12,12.6,30,2012,New Year,1,0,24.8,0
8,1070,0,BURGER,1/1/13,15.5,60,2013,New Year,0,0,30.2,1
9,2051,2,BURGER,1/1/13,13.13,22,2013,New Year,0,0,30.2,1
10,2051,2,COKE,1/1/13,13.13,22,2013,New Year,0,0,30.2,1
11,2052,2,BURGER,1/1/13,12.64,16,2013,New Year,0,0,30.2,1
12,2052,2,LEMONADE,1/1/13,12.64,16,2013,New Year,0,0,30.2,1
13,2053,2,BURGER,1/1/13,13.41,30,2013,New Year,0,0,30.2,1
14,2053,2,COFFEE,1/1/13,13.41,30,2013,New Year,0,0,30.2,1
15,2053,2,COKE,1/1/13,13.41,30,2013,New Year,0,0,30.2,1
16,1070,0,BURGER,1/1/14,15.5,72,2014,New Year,0,0,19.4,0
17,2051,2,BURGER,1/1/14,13.27,22,2014,New Year,0,0,19.4,0
18,2051,2,COKE,1/1/14,13.27,22,2014,New Year,0,0,19.4,0
19,2052,2,BURGER,1/1/14,11.96,20,2014,New Year,0,0,19.4,0
20,2052,2,LEMONADE,1/1/14,11.96,20,2014,New Year,0,0,19.4,0
21,2053,2,BURGER,1/1/14,12.37,44,2014,New Year,0,0,19.4,0
22,2053,2,COFFEE,1/1/14,12.37,44,2014,New Year,0,0,19.4,0
23,2053,2,COKE,1/1/14,12.37,44,2014,New Year,0,0,19.4,0
24,1070,0,BURGER,1/1/15,14.0,66,2015,New Year,0,0,37.4,1
