,SELL_ID,SELL_CATEGORY,ITEM_NAME,CALENDAR_DATE,PRICE,QUANTITY,YEAR,HOLIDAY,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR
180,2052,2,LEMONADE,1/14/14,11.96,26,2014,No Holiday,0,0,28.4,1
220,2052,2,LEMONADE,1/15/15,11.45,28,2015,No Holiday,0,0,32.0,1
252,2052,2,LEMONADE,1/16/15,11.45,22,2015,No Holiday,0,0,32.0,1
380,2052,2,LEMONADE,1/2/15,11.45,22,2015,No Holiday,0,0,37.4,1
612,2052,2,LEMONADE,1/27/12,12.75,18,2012,No Holiday,0,0,32.0,1
772,2052,2,LEMONADE,1/31/12,12.75,16,2012,No Holiday,0,0,32.0,1
804,2052,2,LEMONADE,1/4/12,12.75,24,2012,No Holiday,0,0,32.0,1
860,2052,2,LEMONADE,1/5/15,11.45,22,2015,No Holiday,0,0,33.8,1
892,2052,2,LEMONADE,1/6/15,11.45,22,2015,No Holiday,0,0,32.0,1
924,2052,2,LEMONADE,1/7/15,11.45,20,2015,No Holiday,0,0,32.0,1
1020,2052,2,LEMONADE,10/10/12,12.49,24,2012,No Holiday,0,0,62.6,1
1028,2052,2,LEMONADE,10/10/13,10.12,22,2013,No Holiday,0,0,59.0,1
1036,2052,2,LEMONADE,10/10/14,12.85,24,2014,No Holiday,0,0,60.8,1
1044,2052,2,LEMONADE,10/11/12,12.49,20,2012,No Holiday,0,0,62.6,1
1052,2052,2,LEMONADE,10/11/13,10.12,22,2013,No Holiday,0,0,60.8,1
1068,2052,2,LEMONADE,10/12/12,12.49,18,2012,No Holiday,0,0,62.6,1
1108,2052,2,LEMONADE,10/13/14,12.85,18,2014,No Holiday,0,0,59.0,1
1124,2052,2,LEMONADE,10/14/13,10.12,26,2013,No Holiday,0,0,55.4,1
1132,2052,2,LEMONADE,10/14/14,12.85,16,2014,No Holiday,0,0,48.2,1
1140,2052,2,LEMONADE,10/15/12,12.49,20,2012,No Holiday,0,0,59.0,1
1148,2052,2,LEMONADE,10/15/13,10.12,22,2013,No Holiday,0,0,55.4,1
1156,2052,2,LEMONADE,10/15/14,12.85,20,2014,No Holiday,0,0,48.2,1
1164,2052,2,LEMONADE,10/16/12,12.49,16,2012,No Holiday,0,0,57.2,1
1172,2052,2,LEMONADE,10/16/13,10.12,22,2013,No Holiday,0,0,51.8,1
1180,2052,2,LEMONADE,10/16/14,12.85,16,2014,No Holiday,0,0,53.6,1
1188,2052,2,LEMONADE,10/17/12,12.49,24,2012,No Holiday,0,0,57.2,1
1196,2052,2,LEMONADE,10/17/13,10.12,28,2013,No Holiday,0,0,51.8,1
1204,2052,2,LEMONADE,10/17/14,12.85,18,2014,No Holiday,0,0,55.4,1
1212,2052,2,LEMONADE,10/18/12,12.49,18,2012,No Holiday,0,0,59.0,1
1220,2052,2,LEMONADE,10/18/13,10.12,30,2013,No Holiday,0,0,55.4,1
1236,2052,2,LEMONADE,10/19/12,12.49,16,2012,No Holiday,0,0,59.0,1
1300,2052,2,LEMONADE,10/20/14,12.85,16,2014,No Holiday,0,0,55.4,1
1316,2052,2,LEMONADE,10/21/13,10.12,26,2013,No Holiday,0,0,51.8,1
1324,2052,2,LEMONADE,10/21/14,12.85,20,2014,No Holiday,0,0,53.6,1
1332,2052,2,LEMONADE,10/22/12,12.49,18,2012,No Holiday,0,0,60.8,1
1340,2052,2,LEMONADE,10/22/13,10.12,28,2013,No Holiday,0,0,50.0,1
1348,2052,2,LEMONADE,10/22/14,12.85,20,2014,No Holiday,0,0,50.0,1
1356,2052,2,LEMONADE,10/23/12,12.49,22,2012,No Holiday,0,0,50.0,1
1364,2052,2,LEMONADE,10/23/13,10.12,28,2013,No Holiday,0,0,55.4,1
1372,2052,2,LEMONADE,10/23/14,12.85,16,2014,No Holiday,0,0,48.2,1
1380,2052,2,LEMONADE,10/24/12,12.49,20,2012,No Holiday,0,0,46.4,1
1388,2052,2,LEMONADE,10/24/13,10.12,28,2013,No Holiday,0,0,57.2,1
1396,2052,2,LEMONADE,10/24/14,12.85,20,2014,No Holiday,0,0,50.0,1
1404,2052,2,LEMONADE,10/25/12,12.49,16,2012,No Holiday,0,0,50.0,1
1412,2052,2,LEMONADE,10/25/13,10.12,24,2013,No Holiday,0,0,59.0,1
1428,2052,2,LEMONADE,10/26/12,12.49,20,2012,No Holiday,0,0,48.2,1
1468,2052,2,LEMONADE,10/27/14,12.85,18,2014,No Holiday,0,0,53.6,1
1484,2052,2,LEMONADE,10/28/13,10.12,30,2013,No Holiday,0,0,53.6,1
1492,2052,2,LEMONADE,10/28/14,12.85,22,2014,No Holiday,0,0,51.8,1
